Latitude,Longitude,Elevation
48.18926513,17.03614711,239.0
48.18302767,17.03932285,220.0
48.17913602,17.04404354,204.0
48.17976558,17.05030918,196.0
48.18314212,17.04747676,202.0
48.18497338,17.04284191,222.0
48.18875014,17.04164028,219.0
48.19143948,17.03537464,235.0
48.18256984,17.01099872,365.0
48.18731958,17.03322887,239.0
48.18457280,17.03580379,232.0
48.18039512,17.03717708,223.0
48.17673221,17.04558849,210.0
48.17633157,17.05545902,203.0
